keywords,answer_en,answer_ta,answer_hi
"tomato planting season,when to plant tomato,best time to sow tomato",Plant tomatoes at the start of the warm season: in spring for temperate regions and just after the last frost. Use seedlings and transplant when they have 4–6 true leaves; maintain warm days (25–30°C) for best growth.,"தக்காளி விதைப்பதை வெப்ப பருவ தொடக்கத்தில் செய்யுங்கள்: மிதமான பகுதிகளில் வसந்தத்தில், கடைசி பனியிலிருந்து பிறகு விதைக்க வேண்டும். 4–6 உண்மையான இலைகள் இருக்கும் போது மாற்று நட்டு; 25–30°C பகல் வெப்பநிலையை பராமரிக்கவும்.",टमाटर की बुवाई गर्म मौसम की शुरुआत में करें: समशीतोष्ण क्षेत्रों में वसंत में और अंतिम ठंढ के बाद रोपण करें। 4–6 असली पत्तियों वाले पौधों को प्रत्यारोपित करें; दिन का तापमान 25–30°C रखें।
"tomato weather,best weather for tomato,tomato climate","Tomatoes prefer warm, sunny days (25–30°C) and cool nights (18–20°C). Avoid frost and prolonged heavy rains which can cause blossom drop and disease.",தக்காளிக்கு 25–30°C பகல் வெப்பநிலை மற்றும் 18–20°C இரவு வெப்பநிலை பிடிக்கும். பனி மற்றும் நீண்ட மழையை தவிர்க்கவும்; இது மலர்ச்சி சிதைந்தல் மற்றும் நோய்களை உண்டாக்கும்.,टमाटर को 25–30°C दिन और 18–20°C रात के तापमान पसंद हैं। ओलावृष्टि और लगातार भारी बारिश से बचें।
"tomato irrigation,how to irrigate tomato,water for tomato",Irrigate tomatoes regularly to keep soil evenly moist; avoid waterlogging. Use drip irrigation for water efficiency and water at the base to reduce foliar diseases.,தக்காளிக்கு மண் சமமாக மூடராமல் நீர்ப்பாசனம் செய்யுங்கள்; நீர் நிறைவாக இருக்கவேண்டாம். நீர் திறமைக்காக டிரிப் பாசனம் பயன்படுத்து; இலை நோய்களை குறைக்க அடிப்படையில் நீர் கொடுங்கள்.,टमाटर को नियमित रूप से सींचें ताकि मिट्टी समान रूप से नम रहे; जलभराव न होने दें। ड्रिप सिंचाई उपयोगी है और पत्तियों पर पानी न डालें।
"tomato fertilizer,fertilizer for tomato,tomato nutrients","Apply balanced fertilizer based on soil test. A typical schedule is N-P-K split applications, avoiding excess nitrogen near harvest; organic compost improves fruit quality.",மண் சோதனை அடிப்படையில் சமநிலை உரம் பயன்படுத்தவும். பொதுவாக N-P-K பிரிக்கப்பட்ட முறை பயன்படுத்த வேண்டும்; அறுவடைக்கு அருகில் அதிக நைட்ரஜனைத் தவிர்க்கவும்; கம்போஸ்ட் பழத்தின் தரத்தை மேம்படுத்தும்.,मिट्टी परीक्षण के आधार पर संतुलित उर्वरक दें। सामान्यतः N-P-K को विभाजित मात्रा में दें; कटाई के पास अधिक नाइट्रोजन से बचें; जैविक खाद फल की गुणवत्ता बढ़ाती है।
"tomato pests,tomato diseases,tomato pest management","Common pests: fruit borer, whitefly and leaf miner. Use integrated pest management: monitor, use pheromone traps, neem oil, and release beneficial insects. Remove severely infested plants.","பொதுவான பூச்சிகள்: பழச்சிவப்பு, வெள்ளை ஈ, இலை சுருங்கல். ஒருங்கிணைந்த பூச்சி மேலாண்மை (IPM) பின்பற்றுங்கள்: கண்காணிப்பு, பெரோமோன் காப்புகள், நீம் எண்ணெய் மற்றும் பயனுள்ள பூச்சிகளை அறுவை விடுங்கள்.","आम कीट: फल छेदक, सफेद मक्खी, पत्ती खनन करने वाले। IPM अपनाएँ: मॉनिटरिंग, फेरोमोन ट्रैप, नीम तेल और उपयोगी कीट छोड़ें।"
"brinjal planting,eggplant planting season,when to plant brinjal",Plant brinjal in warm seasons; seedlings transplant after 6–8 weeks. Keep spacing to allow airflow and reduce fungal issues.,வெஞ்ஞல் வெப்ப பருவங்களில் வளர்க்கவும்; 6–8 வாரங்கள் கழித்து மாற்று நட்டு. காற்றோட்டம் ஏற்பட இடைவெளி வைக்கவும்.,बैंगन गर्म मौसम में लगाएँ; 6–8 सप्ताह बाद प्रत्यारोपित करें। हवा का प्रवाह सुनिश्चित करने के लिए दूरी रखें।
"brinjal pests,eggplant pests,brinjal fruit borer","Brinjal fruit borer is serious: adopt pheromone traps, timely insecticide application as per extension advice, and remove infested fruits. Crop rotation helps long-term control.",வெஞ்ஞலில் பழச்சிவப்பு பிரச்சனை: பெரோமோன் காப்புகள் மற்றும் பரிந்துரைக் கூடிய நேரத்தில் பூச்சிக் கொல்லி பயன்படுத்து; பாதிக்கப்பட்ட பழங்களை அகற்று.,बैंगन में फल छेदक समस्या: फेरोमोन ट्रैप और समय पर कीटनाशक का उपयोग करें; संक्रमित फलों को हटाएँ।
"okra planting,ladies finger planting,when to plant okra",Okra grows well in warm weather; sow seeds in rows after the last frost and thin seedlings for proper spacing. Regular weeding and mulching improve yields.,வெப்பமான வானிலையில் வெந்நீலா சிறப்பாக வளரும்; கடைசி பனியிற்சியைத் தொடர்ந்து விதைகள் விதைக்கும் மற்றும் இடைவெளியை சரி செய்ய அகற்றவும்.,भिंडी गर्म मौसम में अच्छी होती है; अंतिम ठंढ के बाद बुवाई करें और उचित दूरी रखें।
"okra pests,okra disease,lady finger pests",Common problems: aphids and fruit borers. Use neem spray and maintain good field hygiene. Intercropping with maize can reduce pest pressure.,பொதுவான பிரச்சனைகள்: அஃபிட்ஸ் மற்றும் பழச்சிவப்பு. நீம் தெளிப்பு மற்றும் நன்கு பராமரிப்பு செய்யவும்.,आम की समस्याएँ: एफिड्स और फल छेदक। नीम का छिड़काव करें और खेत की सफाई रखें।
"potato planting,when to plant potato,potato sowing time","Plant potatoes in cool seasons with well-drained loamy soils. Use certified seed tubers, plant at correct depth, and hill soil around stems after emergence.",குளிர் பருவத்தில் சிறந்த வடிகால் கொண்ட லோமி மண்ணில் உருளைக்கிழங்கு நடுத்தலை செய்யுங்கள். சான்றுத் தகுதியான விதைகளை பயன்படுத்தவும்.,आलू ठंडे मौसम में अच्छी पैदावार देता है; प्रमाणित बीज कंदों का उपयोग करें और सही गहराई पर लगाएँ।
